Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
30097-Height_options,Unable to provide height,"Please provide a selection, if you are unable to provide your current height:",About You,Categorical,"1, I don't know; 2, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
33469-_Height_Success,"System generated variable, not required",,About You,Text,,Available at home,False,Free text excluded from structured model
30714-Weight,Participants weight in pounds,What is your current weight (in pounds)?,About You,Integer,Weight in Pounds,Available at home,True,Structured pre-visit variable from About You
30100-weight_options,Unable to provide weight,"Please provide a selection, if you are unable to provide your current weight:",About You,Categorical,"1, I don't know; 2, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
33480-_Weight_Success,"System generated variable, not required",,About You,Text,,Available at home,False,Free text excluded from structured model
30101-ace_medication,ACE medication details,"Are you taking any ACE Inhibitor medications (such as Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, etc.)?",About You,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30102-blood_type,Blood Type,What is your blood type?,About You,Categorical,"1, O; 2, A; 3, B; 4, AB; 5, Don't know; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-14,Following underlying conditions or risk factors selected; Asthma,Do you have any of the following underlying conditions or risk factors? Asthma,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-2,Following underlying conditions or risk factors selected;Diabetes,Do you have any of the following underlying conditions or risk factors? Diabetes,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-3,Following underlying conditions or risk factors selected;Hypertension,Do you have any of the following underlying conditions or risk factors? Hypertension,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-4,Following underlying conditions or risk factors selected;Obesity,Do you have any of the following underlying conditions or risk factors? Obesity,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-5,Following underlying conditions or risk factors selected;Cardiovascular disease,Do you have any of the following underlying conditions or risk factors? Cardiovascular disease,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
